ID,Organizer,Title,text_string
10_o-17_concept_note1.pdf,"Répertoire International de Littérature Musicale (RILM), in collaboration with","Governing Cultural Knowledge in the Age of AI: Multilingual Heritage,","CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva Governing Cultural Knowledge in the Age of AI: Multilingual Heritage,  Metadata, and Human Stewardship Date & Time:  Tuesday, 7 July 2026, 18:00–18:45 CEST Organizers: Répertoire International de Littérature Musicale (RILM), in collaboration with  the CUNY Graduate Center in New York, and RILM Europa Background and focus What does AI governance mean for multilingual knowledge infrastructures and the  preservation of global heritage? This session explores how multilingual cultural and  knowledge infrastructures can contribute to trustworthy and inclusive AI governance.  Drawing on the Répertoire International de Littérature Musicale’s six decades of  experience in global cultural safeguarding, documentation, and metadata curation  across 180 languages, panelists will discuss provenance, linguistic diversity, human  editorial stewardship, and interoperability as practical foundations for ethical AI in  education and research. The session highlights approaches to the inclusion and  preservation of underrepresented knowledge traditions, as well as ethical cultural data  exchange within emerging AI ecosystems. Speakers and Format 45-minute panel discussion Tina Frühauf (Germany/USA) is Director of the Barry S. Brook Center for Music Research  and Documentation at the CUNY Graduate Center in New York City, and Executive  Director of RILM.   Farah Zahra (Lebanon/USA) is Editor at RILM, focusing on Arabic, French, and Persian  publications. She serves as RILM’s liaison for the Institut du Monde Arabe.  Guillaume Hérisson (France/USA) is an accomplished computer scientist and linguist,  with 20 years of experience in developments for natural language and text mining  applications.  Focal Point/Contact: Tina Frühauf, tfruhauf@rilm.org Short description for the program This session explores how multilingual cultural and knowledge infrastructures can  contribute to trustworthy and inclusive AI governance. Drawing on the Répertoire  International de Littérature Musicale’s six decades of experience in global cultural  safeguarding, documentation, and metadata curation across 180 languages, panelists  will discuss provenance, linguistic diversity, human editorial stewardship, and  interoperability as practical foundations for ethical AI in education and research. Connection link: Zoom RILM Account is inviting you to a scheduled Zoom meeting. Topic: Governing Cultural Knowledge in the Age of AI: Multilingual Heritage, Metadata,  and Human Stewardship Time: Jul 7, 2026 12:00 PM Eastern Time (US and Canada) Join Zoom Meeting https://gc-cuny-edu.zoom.us/j/87314510162?pwd=UJb5W58772sLQ02eRnf1gy8qXcKfkF.1 Meeting chat link https://gc-cuny-edu.zoom.us/launch/jc/87314510162 Meeting ID: 873 1451 0162 Passcode: 723073 --- One tap mobile +13602095623,,87314510162#,,,,*723073# US  +13863475053,,87314510162#,,,,*723073# US --- Join by SIP • 87314510162@zoomcrc.com Join instructions https://gc-cuny-edu.zoom.us/meetings/87314510162/invitations? signature=gzMntzlOBz9DCbiK3L5M43ipLL1aRSjz_vnCcoOP_WI"
11_o-18_ai_dialogue_concept_note_ucl.pdf,University College London (UCL),Operationalizing Responsible AI in High-Stakes Contexts,"CONCEPT NOTE    First Session of the Global Dialogue on AI Governance  6–7 July 2026 I Palexpo, Geneva    Operationalizing Responsible AI in High-Stakes Contexts    Date & Time:  07 July 2026, 14:15–15:00 CEST    Organizers:  University College London (UCL)     Background and focus  This side event addresses a critical governance gap: the disconnect between high-level AI  governance principles and their translation into situated practice in data-sensitive, multi- stakeholder environments such as humanitarian response. Existing risk-centric approaches to AI  governance emphasise technical failures – hallucinations, security vulnerabilities, adversarial  attacks – while underplaying misalignments between developers, operational agencies, and  affected communities over what counts as “safe enough,” who is accountable, and whether AI  tools entrench structural inequalities.  Drawing on the concept of AI responsibility rifts (AIRRs), the session will examine how governance  gaps manifest acutely in humanitarian and crisis-affected settings, where AI tools shape  decisions about who receives aid or information, yet those most affected have the least influence  over their design and governance. AIRRs name the specific points of disagreement between  developers, operational agencies, and affected communities that risk-based frameworks alone  fail to surface.   The event showcases AIRR-sensitive approaches, from project-level diagnostics to reference  models for UN-level governance discussions. It brings together practitioners already applying this  lens in the field to highlight the importance of governance approaches that are sensitive to local  realities and centered on the lived experience of those affected by AI systems.    Speakers and Format  Format: a moderated panel discussion followed by audience Q&A  Speakers:  • Shivaang Sharma – Assistant Professor (Lecturer) in Innovation and Entrepreneurship at  the UCL Global Business School for Health   • Madigan Johnson – Head of Communications at Data Friendly Space  • Brent Phillips – Founder at Humanitarian AI Today  • Valentin Pistorozzi – Founder at BoldCode_    The session will open with a short framing presentation from Dr. Shivaang Sharma introducing AI  responsibility rifts (AIRRs), followed by a panel discussion in which speakers from organisations in  the humanitarian sector examine how the AIRRs lens has surfaced disagreements between  developers, humanitarian agencies, and affected communities in their own work, and how it has  helped prioritise governance interventions. The format is designed to foreground practitioner  experience from across the humanitarian AI ecosystem rather than a traditional presentation-only  format. The final portion will invite audience Q&A and focus on identifying concrete next steps for  embedding AIRR-sensitive governance within global practices.    Focal Point/Contact:  Elise Pi, Policy Adviser, UCL Policy Impact Unit  elise.pi@ucl.ac.uk"
12_o-19_ai_dialogue_concept_note_humancentredaigov1.pdf,Academy Achievers (#BeMeDigitalInclusion),"Human-Centred AI Governance: Bridging Skills, Ethics, Inclusion and the","CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva Human-Centred AI Governance: Bridging Skills, Ethics, Inclusion and the  Future of Work Date & Time: 7 July 2026, 13:30–14:15 Geneva CEST | (45-minute online side event) Organiser: Academy Achievers (#BeMeDigitalInclusion) Artificial intelligence is reshaping every sector of society, making inclusive and human- centred governance more important than ever. This interactive keynote explores  practical approaches to AI governance through the lenses of skills development, ethics,  digital inclusion and the future of work, demonstrating how global principles can be  translated into meaningful action across education, industry and communities. Background and focus Artificial intelligence is transforming economies, education systems, labour markets and  public services at an unprecedented pace. While AI presents significant opportunities to  accelerate innovation and sustainable development, it also raises important questions  about governance, ethics, equity, workforce transformation and public trust. As  governments and organisations develop AI policies and regulatory frameworks, there is  an increasing need to ensure that implementation remains human-centred, inclusive and  responsive to the needs of diverse communities. This keynote explores how human-centred AI governance can bridge the gap between  global policy discussions and practical implementation. Drawing on experiences from  education, workforce development, digital inclusion and responsible AI initiatives across   the United Kingdom and Africa, the session will examine how governments, educators,  industry and civil society can work together to build AI ecosystems that create  opportunity while protecting human dignity and promoting trust. The keynote will focus on five interconnected themes: responsible AI governance; AI  literacy and skills development; ethics and public trust; digital inclusion; and the future of  work. Particular emphasis will be placed on ensuring women, young people and  underserved communities are not only prepared for an AI-enabled economy but are  actively involved in shaping it. Aligned with the objectives of the Global Dialogue on AI Governance, the session will  encourage international collaboration, knowledge exchange and practical capacity- building. Participants will gain actionable insights that support responsible AI adoption,  strengthen digital capability and contribute to inclusive, resilient and trusted AI  ecosystems. The discussion also supports broader efforts towards achieving the  Sustainable Development Goals by promoting equitable access to AI opportunities and  ensuring that technological progress benefits society as a whole. Speakers and Format Format: 45-minute interactive online keynote presentation followed by moderated  audience discussion. Speaker: Paulette Watson MBE – Founder and Managing Director, Academy Achievers;  Global Lead, #BeMeDigitalInclusion. Paulette Watson MBE is an AI governance advisor, educator, author and international  speaker whose work focuses on responsible AI, digital inclusion, STEM education and  workforce transformation across the United Kingdom and Africa. Through Academy  Achievers and the #BeMeDigitalInclusion initiative, she collaborates with governments,  educational institutions, industry and community organisations to expand equitable  access to digital skills and support human-centred approaches to AI adoption. The keynote will explore practical strategies for translating AI governance principles into  action through education, workforce development and inclusive innovation. Drawing on  cross-sector experience and international collaboration, the presentation will  demonstrate how responsible AI can strengthen public trust, expand participation and  prepare communities for the future of work.  The final part of the session will be dedicated to audience questions and discussion,  encouraging participants to exchange perspectives, identify shared challenges and  explore practical actions that advance responsible, inclusive and human-centred AI  governance across regions and sectors. She has contributed to responsible AI and digital inclusion initiatives across the UK and  Africa and regularly advises organisations on human-centred AI, workforce  transformation and digital skills. Focal Point/Contact: Paulette Watson MBE Founder & Managing Director, Academy Achievers Global Lead, #BeMeDigitalInclusion Email: info@paulettewatson.com Website: https://www.academyachievers.io/ LinkedIn: https://www.linkedin.com/in/paulette-watsonmbe For programme enquiries, speaker information or participation, please contact the focal  point using the details above. Google Link: Human-Centred AI Governance: Bridging Skills, Ethics, Inclusion and the Future of Work Tuesday, 7 July · 11:30 – 12:15 Time zone: Europe/London Google Meet joining info Video call link: https://meet.google.com/ipw-pvcz-ffc Or dial: (ZA) +27 10 823 0320 PIN: 533 935 263 2633# More phone numbers: https://tel.meet/ipw-pvcz-ffc?pin=5339352632633"
13_o-20_equity_lens_ai_dialogue_concept_note_template_v3_clean1.pdf,Working Group on Equal Opportunities (AKC) of the German Physical Society (DPG),"Workshop on “Equity Lens: AI Guardrails for Fair Talent Selection,","CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva Workshop on “Equity Lens: AI Guardrails for Fair Talent Selection,  Recognition, and Opportunity” Date & Time:  Monday, 6 July 2026 | 14:00–14:45 CEST Organizers:  Working Group on Equal Opportunities (AKC) of the German Physical Society (DPG) Co-organizer: Sumiko Shimo, Expert member of UNESCO AI Ethics without Borders &  Women for Ethical AI, G20 Technical Facility, ISO/IEC SC42 on AI Contributors:  Dr. Iris Traulsen, AIP Leibniz Institute for Astrophysics Potsdam Sebastian Dohrmann, German Physical Society Background and focus As AI becomes part of institutional decision-making, including decisions about selection,  recognition, funding, leadership opportunities, and career advancement, governance  frameworks must ensure that these systems do not reproduce existing inequities. Many  selection processes are already shaped by unconscious bias and structural patterns that  are difficult to detect, such as reliance on familiar names, concentration within certain  institutions or networks, repeat visibility, and unequal assessment across career stages.  Equity Lens responds to this challenge by exploring how AI-supported transparency  mechanisms can help make such patterns visible before decisions are finalized. This workshop invites participants to co-design the next stage of Equity Lens, a prototype  transparency tool designed to support fairer, more evidence-based selection processes.  Rather than automating decisions or replacing human judgment, Equity Lens provides  privacy-preserving, aggregated indicators of potential structural bias before committees   reach final decisions. The tool does not rank candidates, recommend outcomes, collect  individual votes, or influence committee choices. Its purpose is to help decision-makers  recognize patterns that might otherwise remain invisible, support informed reflection, and  keep responsibility firmly with human decision-makers. This session is for participants who want to help turn AI governance principles into  practical tools for fairer decision-making. Participants will test the Equity Lens concept,  share concerns and use cases from their own sectors, and help define the requirements,  safeguards, and design priorities for an open-source version of the tool. By joining,  participants can contribute directly to a practical requirements specification and help  shape an approach that organizations with different levels of technical capacity could  adapt for responsible, rights-respecting selection processes. Speakers and Format Format: Interactive co-creation workshop This workshop brings together perspectives from scientific practice, equality initiatives, AI  ethics,  standardization,  and  responsible  technology  governance.  It  moves  beyond  knowledge exchange toward developing practical requirements for ethical transparency  tools. Provisional speakers: Ruzin Aganoglu, PhD – Physicist, CTO of Lab-on-Fiber GmbH, and Deputy Spokesperson of  the Working Group on Equal Opportunities (AKC) of the German Physical Society (DPG). She  advances equity initiatives in physics, promotes STEM role models, and builds national and  international networks. She will provide a science–industry innovation perspective and  introduce practical challenges from research communities and professional societies that  motivated Equity Lens. Sumiko Shimo  – Independent researcher and expert member of UNESCO AI Ethics  Without  Borders,  Women4Ethical  AI,  the  G20  Technical  Facility,  ISO  SC42  on  AI  standardization, and CAIDP. She specializes in responsible AI, ethical innovation, bias  mitigation, and inclusive technology governance. She will facilitate ethical reflection,  connecting  Equity  Lens  with  principles  of  fairness,  transparency,  privacy  protection,  accountability, and human oversight. Agenda: 5 min – Introduction and context 10 min – Prototype demonstration and roadmap  20 min – Discussion and feedback 10 min – Next steps The workshop will deliver a stakeholder-informed framework defining ethical principles,  governance safeguards, and technical requirements for transparent selection processes. Focal Point/Contact: Dr. Ruzin Aganoglu Deputy Spokesperson Working Group on Equal Opportunities (AKC) of the German Physical Society (DPG) Email: ruzin.aganoglu@lab-on-fiber.de"
14_o-23_aio_concept_note_2026-07-07_final_v2.pdf,"AI Integrity Organization (AIO), Geneva, Switzerland",A Common Language for AI Governance: An Open Vocabulary and,"CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva A Common Language for AI Governance: An Open Vocabulary and  Toolkit for Multistakeholder Adoption Across Spheres of Influence Date & Time:  Tuesday, 7 July 2026, 12:00–12:45 CEST (online side event) Organizers:  AI Integrity Organization (AIO), Geneva, Switzerland Background and focus AI governance increasingly depends on a shared understanding of what AI systems  actually prioritise, yet policymakers, regulators, domain professionals and civil-society  actors still describe AI behaviour in different and often incompatible vocabularies —  “bias,” “fairness,” “alignment,” “trustworthiness.” Without a common, measurable  reference point, multistakeholder cooperation remains principled in intent but  fragmented in practice. This session introduces an open, MIT-licensed vocabulary and toolkit that any  stakeholder can adopt without specialised technical training. It is grounded in Schwartz  basic-values theory — validated across more than 80 cultures — and operationalised  through 366,120 forced-choice measurements across eight commercial AI models in  seven professional domains (S. Lee, 2026b; arXiv:2604.11216). Three findings frame the  policy stakes: the models reverse their value priorities in 37–50% of cases when the same  dilemma is reframed from another stakeholder’s perspective; all eight restructure their  value hierarchies in defence contexts, with Security surging to dominance; and in  education several prioritise institutional compliance over learner self-direction at rates  above 85%. AI systems, in short, do not hold stable value commitments — a foundational   challenge for any governance framework that assumes transparent, predictable  reasoning. The evidence is paired with the AIO 20002 logging standard, an open-source instrument  that maps AI reasoning to structured value/evidence/source codes designed to support  the reasoning-traceability goals of EU AI Act Articles 12–14 (a voluntary instrument, not a  certified compliance mechanism) and deployable today, ahead of the Act’s 2 August 2026  milestones. The session speaks directly to the cluster on Safe, secure and trustworthy AI:  interoperability and compatibility of approaches, while lowering the technical-fluency  barrier that keeps non-technical voices out of AI-governance debate. By giving every  participant a concrete, shared reference for what a model prioritised and why, it turns  multistakeholder collaboration from a stated principle into a working method each actor  can apply within their own sphere of influence. Speakers and Format Format (45 minutes, online).  The session pairs a short evidence briefing with two interactive instruments used for  outcome measurement rather than decoration. Opening (3 min) frames the core  message and a sphere-of-influence matrix.  Part 1 — The Shared Vocabulary (12 min), delivered by Seulki Lee, Founder of the AI  Integrity Organization (Geneva), presents the empirical findings and the vocabulary chain  from Schwartz values to the Authority Stack model to the AIO 20002 logging standard. Part 2 — Bring It Home (10 min) runs a live clinical-scenario poll, compares audience  judgement with measured AI behaviour, and demonstrates AIO 20002 logging. Part 3 —  Govern AI From Your Seat (15 min) is a moderated roundtable of invited international  experts spanning regulatory compliance (Europe), AI security and governance (Africa),  and applied AI evaluation (Asia-Pacific), each showing how the vocabulary applies in their  sphere of influence. A closing segment (5 min) captures adoption-intent polling and  follow-up. Participants leave with three free, ready-to-use assets — a Vocabulary Reference Card, a  one-page “Get Started in Your Sphere” guide, and an open Call for Co-authors to the AIO  Working Paper Series — and AIO will share a multistakeholder synthesis report with the  Joint Secretariat after the event.  Focal Point/Contact:  Seulki Lee, Founder & CEO, AI Integrity Organization (AIO) — 2sk@aioq.org — aioq.org"
15_o-24_ai_dialogue_concept_note_template_1.pdf,University of Cambridge; The University of Edinburgh · UCL,"[ Responsible AI in Academia, Policy and Society: Urban Futures and","CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva [ Responsible AI in Academia, Policy and Society: Urban Futures and  Global Governance] Date & Time:  Tuesday 7 July 2026, 12:00–13:00 CEST Organizers:  University of Cambridge; The University of Edinburgh · UCL Background and focus The rapid advancement of multimodal artificial intelligence (AI) is reshaping research,  education, and urban development, creating new opportunities while raising complex  governance challenges. As AI systems become increasingly integrated into knowledge  production, public services, and everyday life, there is a growing need for governance  frameworks that are inclusive, transparent, and grounded in human rights. Particular  attention is required to address issues such as child-centred AI, responsible data practices,  algorithmic  accountability,  and  equitable  access  across  diverse  social  and  cultural  contexts. This online side event provides a platform for researchers and international collaborators  to exchange perspectives on responsible multimodal AI governance across academic,  educational, and urban settings. Through a series of lightning talks followed by a panel  discussion,  participants  will  explore  emerging  research,  practical  experiences,  and  collaborative approaches to addressing ethical and societal challenges. By facilitating  dialogue  among  academia,  policymakers,  and  international  organisations,  the  event  contributes to the Global Dialogue on AI Governance and supports the development of  globally informed, rights-based, and cross-sector governance approaches that promote  responsible AI innovation for the public good.  Speakers and Format Alphabetic order Professor Jano van Hemert, Director of Data Services, Edinburgh Parallel Computing  Centre (EPCC), University of Edinburgh; Victoria Lee, Research Integrity and Governance Coordinator, University of Cambridge;  Dr Sinéad Murphy, Policy Engagement Coordinator (Learning & Development), UCL Public  Policy; Ewajesu Okewumi, Research Associate, the project of ‘Exploring GeoAI’, University of  Edinburgh; Professor Andrew Manches, Director of the Children and Technology group, University of  Edinburgh. It is online, and each guest will share their idea in 5-10mins, before a discussion and Q&A  with audiences. Focal Point/Contact: Susan Qu"
16_o-25_concept_note_unesco1.pdf,UNESCO,Comparing National AI-in-Education Policy Approaches: Towards,"CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva Comparing National AI-in-Education Policy Approaches: Towards  Building a Shared Framework Date & Time:  7 July 2026, 12:30–13:30 CEST  Organizers: UNESCO Link: Online, via Zoom Background and focus Artificial intelligence (AI) has an increasing presence in all facets of education,  challenging the fundamental assumptions about the role of education to develop the  knowledge, skills and confidence needed to participate fully in society. In view of the  rapid shifts associated with this technology, many governments have shown interest in  developing coherent national policies for AI in education, but may lack institutional  capacity, technical expertise, and contextual evidence to create a workable strategy.  In this context, this session will look to build on the shared foundation set by UNESCO’s  Guidance for Generative AI in Education and Research and its twin AI Competency Framework  for Teachers and AI Competency Framework for Students while seeking to deepen  understanding of the ways in which policy and practice around AI in education converge  and differ across diverse contexts. Offering a rich dialogue between academic experts  and experienced policy-makers, it will surface and compare approaches of education  policy-makers against a common set of dimensions, identifying shared building blocks,  context-specific divergences, and unresolved gaps, with the aim of producing a  comparative mapping that can inform the development of a comprehensive AI in   Education policy framework for Ministries of Education and a complementary tool to  assess ‘readiness’, building upon existing UNESCO guidance. Speakers and Format  Sobhi Tawil, Director of the Future of Learning and Innovation Division, UNESCO or  Shafika Isaacs, Chief of Section for Technology and AI in Education, Future of  Learning and Innovation Division, UNESCO  Wayne Holmes, UNESCO Chairholder in the Ethics of AI and Education, Professor  of Critical Studies of AI and Education, University College London, United Kingdom  Ig Ibert Bittencourt, UNESCO Chairholder on AI in Education Unplugged, Professor  of Computer Science and Learning Technology, Federal University of Alagoas,  Brazil  Katrien Alen, ICT and AI Policy Officer, Digisprong Knowledge Centre Policy,  Flemish Ministry of Education and Training, Belgium  Vincent Nyirigira, Acting Director of Digital Content and Instructional Technology  Development, ICT in Education Department, Basic Education Board, Rwanda  Carla Kronberg, Manager, Teacher Education, Performance and Professional  Development Division, Ministry of Education, Trinidad and Tobago The session will be formatted in webinar-style, with a series of panelist interventions,  followed by a short moment for audience Q&A, time allowing. Focal Point/Contact: Rachel Pollack, Programme Specialist, Section for Technology and  AI in Education, Future of Learning and Innovation Division (r.pollack@unesco.org)"
17_o-26_ai_dialogue_concept_note_fairwork1.pdf,"Fairwork, Oxford Internet Institute, University of Oxford",“Making AI Data Work Accountable: The Fairwork Certification Scheme”,"CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva “Making AI Data Work Accountable: The Fairwork Certification Scheme” Date & Time:  Tue 7 July 2026 12:45–13:30 CEST Organizers:  Fairwork, Oxford Internet Institute, University of Oxford Background and focus (300 words) AI systems rely on hidden human labour in tasks like data annotation, model evaluation,  content review, and moderation, often through complex supply chains that pose  documented labour risks like low pay, insecure contracts, intense productivity  monitoring, and exposure to distressing content, with poor worker access to remedy. Considering strengthened regulations like the EU’s Corporate Sustainability Due  Diligence Directive (CS3D) or California’s Assembly Bill 2653, firms developing or  implementing AI systems face reputational, legal, and operational risks because most  companies still lack an assurance mechanism for labour due diligence in AI supply  chains. Fairwork can help companies navigate new regulations, avoid reputational  damage, prevent operational disruptions, and improve working conditions. In this lightning talk, we will introduce the Fairwork Certification Scheme as a governance  framework for improving labour conditions and accountability in AI data work. By  presenting the rationale and structure of the Fairwork certification scheme, the session  explores how evidence-based standards can address opacity and fragmented  responsibility within AI production networks to inform corporate due diligence  mechanisms. After the presentation, the session invites the audience to reflect on  practical pathways for implementing labour governance.  It contributes to the Global Dialogue on AI Governance by advancing human-rights- based approaches to transparent, trustworthy, and inclusive AI governance.  Speakers and Format (200 words) The presentation will be hosted by Shilpa Mariam Joseph, a research assistant at the  Fairwork project.  Focal Point/Contact: Shilpa Mariam Joseph- shilpa.joseph@oii.ox.ac.uk  Link to webinar- https://events.teams.microsoft.com/event/a42ef897-7519-498d- a845-6346865a6f3d@cc95de1b-97f5-4f93-b4ba-fe68b852cf91"
18_o-27_ai_dialogue_concept_note_widcon_twg6_updated.pdf,Connecting Women in Digital (WIDCON) / Women in Digital Forum – Thematic Working,"Who Governs AI in Practice? Women's Agency, Accountability and Human","CONCEPT NOTE    First Session of the Global Dialogue on AI Governance  6–7 July 2026 I Palexpo, Geneva  Who Governs AI in Practice? Women's Agency, Accountability and Human  Oversight    Date & Time:  07 July 2026, 13:00–13:45 CEST.    Organizers: Connecting Women in Digital (WIDCON) / Women in Digital Forum – Thematic Working  Group 6, chaired by Universitat Politècnica de Catalunya · BarcelonaTech (UPC).    Background and focus   The session is proposed by Connecting Women in Digital (WIDCON) / Women in Digital Forum –  Thematic Working Group 6, which brings together experts from policy, legal, technical, private-sector,  research and organisational governance backgrounds. The virtual format is intentional, supporting  accessible and cross-regional participation while reducing barriers to engagement.  The proposal builds on TWG6’s work on women’s agency in the AI economy, organisational AI  governance, human oversight, workforce impact assessment, transparency, accountability and  capacity-building. It reflects a shared recognition that trustworthy and inclusive AI governance requires  more than high-level principles. Effective implementation depends on clear organisational accountability  structures: who approves AI use cases, who monitors impacts, who exercises human oversight, who  escalates concerns, and how affected groups, including women, are represented in governance and  decision-making processes.  Particular attention will be given to the practical challenge of operationalising accountability across  complex organisational environments, where responsibilities are often distributed across legal,  compliance, technical, business, HR and management functions. The session will connect AI  governance principles with measurable implementation mechanisms, including operational  transparency, gender-responsive indicators, evidence-based monitoring, CSR and sustainability  governance links, workforce impact assessment and board-level accountability.  The discussion will also explore the conditions under which women move from being affected by AI- driven change to actively shaping how AI is built, adopted and governed. This includes organisational  factors such as leadership behaviour, access to learning opportunities, meaningful participation in AI- related decisions and capacity-building.   By bringing together European governance practitioners, policy experts and Global South and Latin  American perspectives, the session will identify practical approaches for embedding accountability,  inclusion and human oversight into AI governance frameworks. The discussion connects to SDGs 5, 8, 9,  10 and 16 by linking women’s agency, decent work, inclusive innovation, reduced inequalities and  accountable institutions.  A short takeaway note will capture cross-regional insights and practical recommendations on gender- responsive AI governance.    Speakers and Format   The proposed 45-minute virtual side event will focus on how women move from being affected by AI to  shaping AI governance in practice. Ruth Martínez-López, TWG6 Chair, with Ilker Demirkol as Co-Chair if  available, will open with a 3-minute framing of WIDCON/TWG6 and the core governance challenge.  The core panel will include three short expert inputs. Georgia Voudoulaki will address operational AI  governance, institutional accountability, human oversight and responsibility structures. Catherine  Mulligan will connect AI labour-market transformation, just transition, women as builders of AI, digital  skills, adoption and decent work. Ciara O’Buachalla and Rania Souhlal will provide a joint contribution:  Ciara on private-sector implementation and AI compliance ownership across legal, HR, IT, compliance  and business functions; Rania on gender-responsive KPIs, double materiality, cross-functional escalation  risks, Board and C-suite decision-making, and auditable evidence architecture.  A brief guided exchange with Fadima Diawara, facilitated by Caroline De Cock, will bring a Francophone  Africa perspective on digital inclusion, capacity-building and implementation constraints.  The session will then move to a 10-minute moderated discussion led by Mara Saenger with Gabriela  Arriagada-Bruneau and Polona Pičman Štefančič, adding Latin American, data-sovereignty, human-rights  and Caribbean perspectives. The session will close with 5 minutes of practical takeaways and next steps.    Focal Point/Contact:  Ruth Martinez Lopez (ruth.martinez.lopez@upc.edu)"
19_o-28_ai_dialogue_concept_note_asuntos_del_sur1.pdf,Asuntos del Sur,Building Technical Sovereignty: AI Safety and Security Capacity as a,"CONCEPT NOTE First Session of the Global Dialogue on AI Governance 6–7 July 2026 I Palexpo, Geneva Building Technical Sovereignty: AI Safety and Security Capacity as a  Governance Foundation in the Global South Date & Time:  06 July 2026, 18:00–19:00 CEST Organizers: Asuntos del Sur  Access link: https://us06web.zoom.us/j/83211211214? pwd=kzuNaOZKXV21bMd0RsiGRNYlZlzZbc.1 Background and focus Technical sovereignty in AI rests on a country's or region's actual capacity to understand, audit,  red-team, and govern the AI systems it deploys and depends on. For most of the Global South,  building this capacity is the central condition for participating in AI governance as an active agent,  with real influence over the standards that get set. Co-organised by Asuntos del Sur and the Global Council for Responsible AI, this session brings  together practitioners working on the ground in Latin America and Africa to examine what building  this capacity actually requires: AI safety literacy for policymakers and civil society, security  standards and red-teaming practices adapted to local threat landscapes, privacy-preserving  infrastructure that keeps data and models under domestic or regional control, and governance  frameworks grounded in local realities. The session focuses on concrete, transferable practices: how edge-AI and privacy-enhancing  computation can strengthen domestic control over cloud infrastructure; how AI red-teaming and  security operations expertise can be grown regionally; and how ambassador and chapter-based  networks can translate global governance debates into local policy influence. The panel will also  address the specific barriers Global South institutions face — talent retention, funding models,  and limited input into the technical standards that get set globally — and identify forms of South- South cooperation that could accelerate progress on these gaps.  The goal is to ground the conversation on AI governance in the Global South in the technical and  institutional foundations that make governance principles enforceable in practice. The session  aims to produce concrete takeaways for the Global Dialogue on how safety and security capacity  building should be prioritised and resourced going forward. Speakers and Format This is a moderated panel discussion, followed by open Q&A with the audience. Moderator: Agustina Brizio, Coordinadora de Innovación y Tecnologías Digitales, Asuntos del Sur  (Latin America). Speakers: Steven Guerrero (Costa Rica) — Vice President of FAIR, the Costa Rican Foundation for  Responsible AI, and Chapter Lead for the AI Costa Rica Chapter of the Global Council for  Responsible AI. He also teaches responsible AI and digital transformation at Cenfotec University,  focusing on strengthening Latin America's institutional and human capacities to adopt, evaluate,  and govern AI systems responsibly. Michael Michie (Kenya) — co-founder of Everse Technology Africa, a Nairobi-based venture  building edge-AI and privacy-enhancing computation for regulated industries, enabling  institutions to train and audit models on sensitive data while keeping that data resident locally.  He is also active on Africa's AI policy advisory community. Shiphrah Wairima (Kenya) — President of the Kenya Chapter of the Global Council for  Responsible AI, and a cybersecurity leader with a background in security operations and AI red- teaming, focused on building security frameworks tailored to African threat contexts and  expanding inclusive participation in AI governance. The 60-minute format opens with brief framing remarks from each speaker (5 minutes each),  continues with a moderated cross-regional discussion connecting Latin American and African  experiences, and closes with 15–20 minutes of audience Q&A. Focal Point/Contact: Agustina Brizio - agustina.brizio@asuntosdelsur.org"
